Episode 62: 1000 time steps, total rewards -100.00
Episode 63: 1000 time steps, total rewards -97.00
Episode 64: 1000 time steps, total rewards -100.00
Episode 65: 1000 time steps, total rewards -100.00
Episode 66: 1000 time steps, total rewards -102.00
Episode 67: 1000 time steps, total rewards -97.00
Episode 68: 1000 time steps, total rewards -94.00
Episode 69: 1000 time steps, total rewards -97.00
Episode 70: 1000 time steps, total rewards -100.00
Episode 71: 1000 time steps, total rewards -102.00
Episode 72: 1000 time steps, total rewards -102.00
Episode 73: 1000 time steps, total rewards -102.00
Episode 74: 1000 time steps, total rewards -102.00
Episode 75: 1000 time steps, total rewards -99.00
Episode 76: 1000 time steps, total rewards -104.00
Episode 77: 1000 time steps, total rewards -100.00
Episode 78: 1000 time steps, total rewards -100.00
Episode 79: 1000 time steps, total rewards -100.00
Episode 80: 1000 time steps, total rewards -100.00
Episode 81: 1000 time steps, total rewards -100.00
Episode 82: 1000 time steps, total rewards -100.00
Episode 83: 1000 time steps, total rewards -100.00
Episode 84: 1000 time steps, total rewards -97.00
Episode 85: 1000 time steps, total rewards -100.00
Episode 86: 1000 time steps, total rewards -97.00
Episode 87: 1000 time steps, total rewards -102.00
Episode 88: 1000 time steps, total rewards -100.00
Episode 89: 1000 time steps, total rewards -102.00
Episode 90: 1000 time steps, total rewards -97.00
Episode 91: 1000 time steps, total rewards -97.00
Episode 92: 1000 time steps, total rewards -100.00
Episode 93: 1000 time steps, total rewards -99.00
Episode 94: 1000 time steps, total rewards -94.00
Episode 95: 1000 time steps, total rewards -97.00
Episode 96: 1000 time steps, total rewards -100.00
Episode 97: 1000 time steps, total rewards -100.00
Episode 98: 1000 time steps, total rewards -99.00
Episode 99: 1000 time steps, total rewards -97.00
Episode 100: 1000 time steps, total rewards -102.00
Episode 101: 1000 time steps, total rewards -100.00
Episode 102: 1000 time steps, total rewards -100.00
Episode 103: 1000 time steps, total rewards -102.00
Episode 104: 1000 time steps, total rewards -102.00
Episode 105: 1000 time steps, total rewards -100.00
Episode 106: 1000 time steps, total rewards -100.00
Episode 107: 1000 time steps, total rewards -100.00
Episode 108: 1000 time steps, total rewards -100.00
Episode 109: 1000 time steps, total rewards -104.00
Episode 110: 1000 time steps, total rewards -97.00
Episode 111: 1000 time steps, total rewards -102.00
Episode 112: 1000 time steps, total rewards -102.00
Episode 113: 1000 time steps, total rewards -102.00
Episode 114: 1000 time steps, total rewards -99.00
Episode 115: 1000 time steps, total rewards -100.00
Episode 116: 1000 time steps, total rewards -102.00
Episode 117: 1000 time steps, total rewards -102.00
Episode 118: 1000 time steps, total rewards -100.00
Episode 119: 1000 time steps, total rewards -100.00
Episode 120: 1000 time steps, total rewards -100.00
Episode 121: 1000 time steps, total rewards -97.00
Episode 122: 1000 time steps, total rewards -99.00
Episode 123: 1000 time steps, total rewards -100.00
Episode 124: 1000 time steps, total rewards -100.00
Episode 125: 1000 time steps, total rewards -102.00
Episode 126: 1000 time steps, total rewards -100.00
Episode 127: 1000 time steps, total rewards -97.00
Episode 128: 1000 time steps, total rewards -97.00
Episode 129: 1000 time steps, total rewards -97.00
Episode 130: 1000 time steps, total rewards -100.00
Episode 131: 1000 time steps, total rewards -97.00
Episode 132: 1000 time steps, total rewards -97.00
Episode 133: 1000 time steps, total rewards -102.00
Episode 134: 1000 time steps, total rewards -100.00
Episode 135: 1000 time steps, total rewards -97.00
Episode 136: 1000 time steps, total rewards -100.00
Episode 137: 1000 time steps, total rewards -102.00
Episode 138: 1000 time steps, total rewards -99.00
Episode 139: 1000 time steps, total rewards -97.00
Episode 140: 1000 time steps, total rewards -100.00
Episode 141: 1000 time steps, total rewards -97.00
Episode 142: 1000 time steps, total rewards -100.00
Episode 143: 1000 time steps, total rewards -94.00
Episode 144: 1000 time steps, total rewards -100.00
Episode 145: 1000 time steps, total rewards -102.00
Episode 146: 1000 time steps, total rewards -100.00
Episode 147: 1000 time steps, total rewards -100.00
Episode 148: 1000 time steps, total rewards -100.00
Episode 149: 1000 time steps, total rewards -99.00
Episode 150: 1000 time steps, total rewards -100.00
